组合码,国家,省州,市县,纬度,经度,人口数
"Para, Brazil",Brazil,Para,,-1.9981,-54.9306,8602865
"Paraiba, Brazil",Brazil,Paraiba,,-7.24,-36.782,4018127
"Parana, Brazil",Brazil,Parana,,-25.2521,-52.0215,11433957
"Pernambuco, Brazil",Brazil,Pernambuco,,-8.8137,-36.9541,9557071
"Piaui, Brazil",Brazil,Piaui,,-7.7183,-42.7289,3273227
"Rio de Janeiro, Brazil",Brazil,Rio de Janeiro,,-22.9068,-43.1729,17264943
"Rio Grande do Norte, Brazil",Brazil,Rio Grande do Norte,,-5.4026,-36.9541,3506853
"Rio Grande do Sul, Brazil",Brazil,Rio Grande do Sul,,-30.0346,-51.2177,11377239
"Rondonia, Brazil",Brazil,Rondonia,,-11.5057,-63.5806,1777225
"Roraima, Brazil",Brazil,Roraima,,-2.7376,-62.0751,605761
"Santa Catarina, Brazil",Brazil,Santa Catarina,,-27.2423,-50.2189,7164788
"Sao Paulo, Brazil",Brazil,Sao Paulo,,-23.5505,-46.6333,45919049
"Sergipe, Brazil",Brazil,Sergipe,,-10.5741,-37.3857,2298696
"Tocantins, Brazil",Brazil,Tocantins,,-10.1753,-48.2982,1572866
"Unknown, Brazil",Brazil,Unknown,,,,
Brunei,Brunei,,,4.5353,114.7277,437483
Bulgaria,Bulgaria,,,42.7339,25.4858,6948445
Burkina Faso,Burkina Faso,,,12.2383,-1.5616,20903278
Burma,Burma,,,21.9162,95.956,54409794
Burundi,Burundi,,,-3.3731,29.9189,11890781
Cabo Verde,Cabo Verde,,,16.5388,-23.0418,555988
Cambodia,Cambodia,,,11.55,104.9167,16718971
Cameroon,Cameroon,,,3.848,11.5021,26545864
Central African Republic,Central African Republic,,,6.6111,20.9394,4829764
Chad,Chad,,,15.4542,18.7322,16425859
Chile,Chile,,,-35.6751,-71.543,19116209
"Antofagasta, Chile",Chile,Antofagasta,,-23.6509,-70.3975,607534
"Araucania, Chile",Chile,Araucania,,-38.9489,-72.3311,957224
"Arica y Parinacota, Chile",Chile,Arica y Parinacota,,-18.594,-69.4785,226068
"Atacama, Chile",Chile,Atacama,,-27.5661,-70.0503,288944
"Aysen, Chile",Chile,Aysen,,-45.9864,-73.7669,103158
"Biobio, Chile",Chile,Biobio,,-37.4464,-72.1416,1556805
"Coquimbo, Chile",Chile,Coquimbo,,-29.959,-71.3389,757586
"Los Lagos, Chile",Chile,Los Lagos,,-41.9198,-72.1416,828708
"Los Rios, Chile",Chile,Los Rios,,-40.231,-72.3311,384837
"Magallanes, Chile",Chile,Magallanes,,-52.368,-70.9863,166533
"Maule, Chile",Chile,Maule,,-35.5183,-71.6885,1044950
"Metropolitana, Chile",Chile,Metropolitana,,-33.4376,-70.6505,7112808
"Nuble, Chile",Chile,Nuble,,-36.7226,-71.7622,480609
"OHiggins, Chile",Chile,OHiggins,,-34.5755,-71.0022,914555
"Tarapaca, Chile",Chile,Tarapaca,,-19.9232,-69.5132,330558
"Valparaiso, Chile",Chile,Valparaiso,,-33.0472,-71.6127,1815902
"Unknown, Chile",Chile,Unknown,,,,
Colombia,Colombia,,,4.5709,-74.2973,50882884
"Amazonas, Colombia",Colombia,Amazonas,,-1.4429,-71.5724,76589
"Antioquia, Colombia",Colombia,Antioquia,,7.1986,-75.3412,6407102
"Arauca, Colombia",Colombia,Arauca,,7.0762,-70.7105,262174
"Atlantico, Colombia",Colombia,Atlantico,,10.6966,-74.8741,2535517
"Bolivar, Colombia",Colombia,Bolivar,,8.6704,-74.03,2070110
"Boyaca, Colombia",Colombia,Boyaca,,5.4545,-73.362,1217376
"Caldas, Colombia",Colombia,Caldas,,5.2983,-75.2479,998255
"Capital District, Colombia",Colombia,Capital District,,4.711,-74.0721,7412566
"Caqueta, Colombia",Colombia,Caqueta,,0.8699,-73.8419,401489
"Casanare, Colombia",Colombia,Casanare,,5.7589,-71.5724,420504
"Cauca, Colombia",Colombia,Cauca,,2.705,-76.826,1464488
"Cesar, Colombia",Colombia,Cesar,,9.3373,-73.6536,1200574
"Choco, Colombia",Colombia,Choco,,5.2528,-76.826,534826
"Cordoba, Colombia",Colombia,Cordoba,,8.0493,-75.574,1784783
"Cundinamarca, Colombia",Colombia,Cundinamarca,,5.026,-74.03,2919060
"Guainia, Colombia",Colombia,Guainia,,2.5854,-68.5247,48114
"Guaviare, Colombia",Colombia,Guaviare,,1.0654,-73.2603,82767
"Huila, Colombia",Colombia,Huila,,2.5359,-75.5277,1100386
"La Guajira, Colombia",Colombia,La Guajira,,11.3548,-72.5205,880560
"Magdalena, Colombia",Colombia,Magdalena,,10.4113,-74.4057,1341746
"Meta, Colombia",Colombia,Meta,,3.272,-73.0877,1039722
"Narino, Colombia",Colombia,Narino,,1.2892,-77.3579,1630592
"Norte de Santander, Colombia",Colombia,Norte de Santander,,7.9463,-72.8988,1491689
"Putumayo, Colombia",Colombia,Putumayo,,0.436,-75.5277,348182
"Quindio, Colombia",Colombia,Quindio,,4.461,-75.6674,539904
"Risaralda, Colombia",Colombia,Risaralda,,5.3158,-75.9928,943401
"San Andres y Providencia, Colombia",Colombia,San Andres y Providencia,,12.5567,-81.7185,61280
"Santander, Colombia",Colombia,Santander,,6.6437,-73.6536,2184837
"Sucre, Colombia",Colombia,Sucre,,8.814,-74.7233,904863
"Tolima, Colombia",Colombia,Tolima,,4.0925,-75.1545,1330187
"Valle del Cauca, Colombia",Colombia,Valle del Cauca,,3.8009,-76.6413,4475886
"Vaupes, Colombia",Colombia,Vaupes,,0.8554,-70.812,40797
"Vichada, Colombia",Colombia,Vichada,,4.4234,-69.2878,107808
"Unknown, Colombia",Colombia,Unknown,,,,
Congo (Brazzaville),Congo (Brazzaville),,,-0.228,15.8277,5518092
Congo (Kinshasa),Congo (Kinshasa),,,-4.0383,21.7587,89561404
Comoros,Comoros,,,-11.6455,43.3333,869595
Costa Rica,Costa Rica,,,9.7489,-83.7534,5094114
Cote d'Ivoire,Cote d'Ivoire,,,7.54,-5.5471,26378275
Croatia,Croatia,,,45.1,15.2,4105268
Cuba,Cuba,,,21.521757,-77.781167,11326616
Cyprus,Cyprus,,,35.1264,33.4299,1207361
Czechia,Czechia,,,49.8175,15.473,10708982
Denmark,Denmark,,,56.2639,9.5018,5792203
"Faroe Islands, Denmark",Denmark,Faroe Islands,,61.8926,-6.9118,48865
"Greenland, Denmark",Denmark,Greenland,,71.7069,-42.6043,56772
Diamond Princess,Diamond Princess,,,,,
Djibouti,Djibouti,,,11.8251,42.5903,988002
Dominica,Dominica,,,15.415,-61.371,71991
Dominican Republic,Dominican Republic,,,18.7357,-70.1627,10847904
Ecuador,Ecuador,,,-1.8312,-78.1834,17643060
Egypt,Egypt,,,26.820553,30.802498,102334403
El Salvador,El Salvador,,,13.7942,-88.8965,6486201
Equatorial Guinea,Equatorial Guinea,,,1.6508,10.2679,1402985
Eritrea,Eritrea,,,15.1794,39.7823,3546427
Estonia,Estonia,,,58.5953,25.0136,1326539
Eswatini,Eswatini,,,-26.5225,31.4659,1160164
Ethiopia,Ethiopia,,,9.145,40.4897,114963583
Fiji,Fiji,,,-17.7134,178.065,896444
Finland,Finland,,,61.92411,25.748151,5540718
France,France,,,46.2276,2.2137,65273512
"French Guiana, France",France,French Guiana,,4,-53,298682
"French Polynesia, France",France,French Polynesia,,-17.6797,-149.4068,280904
"Guadeloupe, France",France,Guadeloupe,,16.265,-61.551,400127
"Martinique, France",France,Martinique,,14.6415,-61.0242,375265
"Mayotte, France",France,Mayotte,,-12.8275,45.166244,272813
"New Caledonia, France",France,New Caledonia,,-20.904305,165.618042,285491
"Reunion, France",France,Reunion,,-21.1151,55.5364,895308
"Saint Barthelemy, France",France,Saint Barthelemy,,17.9,-62.8333,9885
"Saint Pierre and Miquelon, France",France,Saint Pierre and Miquelon,,46.8852,-56.3159,5795
"St Martin, France",France,St Martin,,18.0708,-63.0501,38659
"Wallis and Futuna, France",France,Wallis and Futuna,,-14.2938,-178.1165,15289
Gabon,Gabon,,,-0.8037,11.6094,2225728
Gambia,Gambia,,,13.4432,-15.3101,2416664
Georgia,Georgia,,,42.3154,43.3569,3989175
Germany,Germany,,,51.165691,10.451526,83783945
"Baden-Wurttemberg, Germany",Germany,Baden-Wurttemberg,,48.6616,9.3501,11069533
"Bayern, Germany",Germany,Bayern,,48.7904,11.4979,13076721
"Berlin, Germany",Germany,Berlin,,52.52,13.405,3644826
"Brandenburg, Germany",Germany,Brandenburg,,52.4125,12.5316,2511917
"Bremen, Germany",Germany,Bremen,,53.0793,8.8017,682986
"Hamburg, Germany",Germany,Hamburg,,53.5511,9.9937,1841179
"Hessen, Germany",Germany,Hessen,,50.6521,9.1624,6265809
"Mecklenburg-Vorpommern, Germany",Germany,Mecklenburg-Vorpommern,,53.6127,12.4296,1609675
"Niedersachsen, Germany",Germany,Niedersachsen,,52.6367,9.8451,7982448
"Nordrhein-Westfalen, Germany",Germany,Nordrhein-Westfalen,,51.4332,7.6616,17932651
"Rheinland-Pfalz, Germany",Germany,Rheinland-Pfalz,,50.1183,7.309,4084844
"Saarland, Germany",Germany,Saarland,,49.3964,7.023,990509
"Sachsen, Germany",Germany,Sachsen,,51.1045,13.2017,4077937
"Sachsen-Anhalt, Germany",Germany,Sachsen-Anhalt,,51.9503,11.6923,2208321
"Schleswig-Holstein, Germany",Germany,Schleswig-Holstein,,54.2194,9.6961,2896712
"Thuringen, Germany",Germany,Thuringen,,51.011,10.8453,2143145
"Unknown, Germany",Germany,Unknown,,,,
Ghana,Ghana,,,7.9465,-1.0232,31072945
Greece,Greece,,,39.0742,21.8243,10423056
Grenada,Grenada,,,12.1165,-61.679,112519
Guatemala,Guatemala,,,15.7835,-90.2308,17915567
Guinea,Guinea,,,9.9456,-9.6966,13132792
Guinea-Bissau,Guinea-Bissau,,,11.8037,-15.1804,1967998
Guyana,Guyana,,,4.860416,-58.93018,786559
Haiti,Haiti,,,18.9712,-72.2852,11402533
Holy See,Holy See,,,41.9029,12.4534,809
Honduras,Honduras,,,15.2,-86.2419,9904608
Hungary,Hungary,,,47.1625,19.5033,9660350
Iceland,Iceland,,,64.9631,-19.0208,341250
India,India,,,20.593684,78.96288,1380004385
"Andaman and Nicobar Islands, India",India,Andaman and Nicobar Islands,,11.225999,92.968178,417036
"Andhra Pradesh, India",India,Andhra Pradesh,,15.9129,79.74,53903393
"Arunachal Pradesh, India",India,Arunachal Pradesh,,27.768456,96.384277,1570458
"Assam, India",India,Assam,,26.357149,92.830441,35607039
"Bihar, India",India,Bihar,,25.679658,85.60484,124799926
"Chandigarh, India",India,Chandigarh,,30.733839,76.768278,1158473
"Chhattisgarh, India",India,Chhattisgarh,,21.264705,82.035366,29436231
"Dadra and Nagar Haveli and Daman and Diu, India",India,Dadra and Nagar Haveli and Daman and Diu,,20.194742,73.080901,615724
"Delhi, India",India,Delhi,,28.646519,77.10898,18710922
"Goa, India",India,Goa,,15.359682,74.057396,1586250
"Gujarat, India",India,Gujarat,,22.694884,71.590923,63872399
"Haryana, India",India,Haryana,,29.20004,76.332824,28204692
"Himachal Pradesh, India",India,Himachal Pradesh,,31.927213,77.233081,7451955
"Jammu and Kashmir, India",India,Jammu and Kashmir,,33.75943,76.612638,13606320
"Jharkhand, India",India,Jharkhand,,23.654536,85.557631,38593948
"Karnataka, India",India,Karnataka,,14.70518,76.166436,67562686
"Kerala, India",India,Kerala,,10.450898,76.405749,35699443
"Ladakh, India",India,Ladakh,,34.1526,77.5771,274289
"Madhya Pradesh, India",India,Madhya Pradesh,,23.541513,78.289633,85358965
"Maharashtra, India",India,Maharashtra,,19.449759,76.108221,123144223
"Manipur, India",India,Manipur,,24.738975,93.882541,3091545
"Meghalaya, India",India,Meghalaya,,25.536934,91.278882,3366710
"Mizoram, India",India,Mizoram,,23.309381,92.83822,1239244
"Nagaland, India",India,Nagaland,,26.06702,94.470302,2249695
"Odisha, India",India,Odisha,,20.505428,84.418059,46356334
"Puducherry, India",India,Puducherry,,11.882658,78.86498,1413542
"Punjab, India",India,Punjab,,30.841465,75.40879,30141373
"Rajasthan, India",India,Rajasthan,,26.583423,73.847973,81032689
"Sikkim, India",India,Sikkim,,27.571671,88.472712,690251
"Tamil Nadu, India",India,Tamil Nadu,,11.006091,78.400624,77841267
"Telangana, India",India,Telangana,,18.1124,79.0193,39362732
"Tripura, India",India,Tripura,,23.746783,91.743565,4169794
"Uttar Pradesh, India",India,Uttar Pradesh,,26.925425,80.560982,237882725
"Uttarakhand, India",India,Uttarakhand,,30.156447,79.197608,11250858
"West Bengal, India",India,West Bengal,,23.814082,87.979803,99609303
"Unknown, India",India,Unknown,,,,
"Lakshadweep, India",India,Lakshadweep,,13.6999972,72.1833326,64429
Indonesia,Indonesia,,,-0.7893,113.9213,273523621
Iran,Iran,,,32.427908,53.688046,83992953
Iraq,Iraq,,,33.223191,43.679291,40222503
Ireland,Ireland,,,53.1424,-7.6921,4937796
Israel,Israel,,,31.046051,34.851612,8655541
Italy,Italy,,,41.87194,12.56738,60461828
"Abruzzo, Italy",Italy,Abruzzo,,42.35122196,13.39843823,1311580
"Basilicata, Italy",Italy,Basilicata,,40.63947052,15.80514834,562869
"Calabria, Italy",Italy,Calabria,,38.90597598,16.59440194,1947131
"Campania, Italy",Italy,Campania,,40.83956555,14.25084984,5801692
"Emilia-Romagna, Italy",Italy,Emilia-Romagna,,44.49436681,11.3417208,4459477
"Friuli Venezia Giulia, Italy",Italy,Friuli Venezia Giulia,,45.6494354,13.76813649,1215220
"Lazio, Italy",Italy,Lazio,,41.89277044,12.48366722,5879082
"Liguria, Italy",Italy,Liguria,,44.41149315,8.9326992,1550640
"Lombardia, Italy",Italy,Lombardia,,45.46679409,9.190347404,10060574
"Marche, Italy",Italy,Marche,,43.61675973,13.5188753,1525271
"Molise, Italy",Italy,Molise,,41.55774754,14.65916051,305617
"P.A. Bolzano, Italy",Italy,P.A. Bolzano,,46.49933453,11.35662422,532318
"P.A. Trento, Italy",Italy,P.A. Trento,,46.06893511,11.12123097,541418
"Piemonte, Italy",Italy,Piemonte,,45.0732745,7.680687483,4356406
"Puglia, Italy",Italy,Puglia,,41.12559576,16.86736689,4029053
"Sardegna, Italy",Italy,Sardegna,,39.21531192,9.110616306,1639591
"Sicilia, Italy",Italy,Sicilia,,38.11569725,13.3623567,4999891
"Toscana, Italy",Italy,Toscana,,43.76923077,11.25588885,3729641
"Umbria, Italy",Italy,Umbria,,43.10675841,12.38824698,882015
"Valle d'Aosta, Italy",Italy,Valle d'Aosta,,45.73750286,7.320149366,125666
"Veneto, Italy",Italy,Veneto,,45.43490485,12.33845213,4905854
Jamaica,Jamaica,,,18.1096,-77.2975,2961161
Japan,Japan,,,36.204824,138.252924,126476458
"Aichi, Japan",Japan,Aichi,,35.035551,137.211621,7552239
"Akita, Japan",Japan,Akita,,39.748679,140.408228,966490
"Aomori, Japan",Japan,Aomori,,40.781541,140.828896,1246371
"Chiba, Japan",Japan,Chiba,,35.510141,140.198917,6259382
"Ehime, Japan",Japan,Ehime,,33.624835,132.856842,1339215
"Fukui, Japan",Japan,Fukui,,35.846614,136.224654,767937
"Fukuoka, Japan",Japan,Fukuoka,,33.526032,130.666949,5103679
"Fukushima, Japan",Japan,Fukushima,,37.378867,140.223295,1845519
"Gifu, Japan",Japan,Gifu,,35.778671,137.055925,1986587
"Gunma, Japan",Japan,Gunma,,36.504479,138.985605,1942456
"Hiroshima, Japan",Japan,Hiroshima,,34.605309,132.788719,2804177
"Hokkaido, Japan",Japan,Hokkaido,,43.385711,142.552318,5250049
"Hyogo, Japan",Japan,Hyogo,,35.039913,134.828057,5466190
"Ibaraki, Japan",Japan,Ibaraki,,36.303588,140.319591,2860307
"Ishikawa, Japan",Japan,Ishikawa,,36.769464,136.771027,1137649
"Iwate, Japan",Japan,Iwate,,39.593287,141.361777,1226816
"Kagawa, Japan",Japan,Kagawa,,34.217292,133.969047,956347
"Kagoshima, Japan",Japan,Kagoshima,,31.009484,130.430665,1602273
"Kanagawa, Japan",Japan,Kanagawa,,35.415312,139.338983,9198268
"Kochi, Japan",Japan,Kochi,,33.422519,133.367307,698029
"Kumamoto, Japan",Japan,Kumamoto,,32.608154,130.745231,1747567
"Kyoto, Japan",Japan,Kyoto,,35.253815,135.443341,2582957
"Mie, Japan",Japan,Mie,,34.508018,136.376013,1780882
"Miyagi, Japan",Japan,Miyagi,,38.446859,140.927086,2306365
"Miyazaki, Japan",Japan,Miyazaki,,32.193204,131.299374,1073301
"Nagano, Japan",Japan,Nagano,,36.132134,138.045528,2048790
"Nagasaki, Japan",Japan,Nagasaki,,33.235712,129.608033,1326524
"Nara, Japan",Japan,Nara,,34.317451,135.871644,1330123
"Niigata, Japan",Japan,Niigata,,37.521819,138.918647,2223106
"Oita, Japan",Japan,Oita,,33.200697,131.43324,1135434
"Okayama, Japan",Japan,Okayama,,34.89246,133.826252,1889586
"Okinawa, Japan",Japan,Okinawa,,25.768923,126.668016,1453168
"Osaka, Japan",Japan,Osaka,,34.620965,135.507481,8809363
"Saga, Japan",Japan,Saga,,33.286977,130.115738,814711
"Saitama, Japan",Japan,Saitama,,35.997101,139.347635,7349693
"Shiga, Japan",Japan,Shiga,,35.215827,136.138064,1413943
"Shimane, Japan",Japan,Shimane,,35.07076,132.554064,674346
"Shizuoka, Japan",Japan,Shizuoka,,34.916975,138.407784,3643528
"Tochigi, Japan",Japan,Tochigi,,36.689912,139.819213,1933990
"Tokushima, Japan",Japan,Tokushima,,33.919178,134.242091,727977
"Tokyo, Japan",Japan,Tokyo,,35.711343,139.446921,13920663
"Tottori, Japan",Japan,Tottori,,35.359069,133.863619,555558
"Toyama, Japan",Japan,Toyama,,36.637464,137.269346,1043502
"Wakayama, Japan",Japan,Wakayama,,33.911879,135.505446,924933
"Yamagata, Japan",Japan,Yamagata,,38.448396,140.102154,1077666
"Yamaguchi, Japan",Japan,Yamaguchi,,34.20119,131.573293,1358336
"Yamanashi, Japan",Japan,Yamanashi,,35.612364,138.611489,810956
"Port Quarantine, Japan",Japan,Port Quarantine,,,,
"Unknown, Japan",Japan,Unknown,,,,
Jordan,Jordan,,,31.24,36.51,10203140
Kazakhstan,Kazakhstan,,,48.0196,66.9237,18776707
Kenya,Kenya,,,-0.0236,37.9062,53771300
"Korea, South","Korea, South",,,35.907757,127.766922,51269183
Kosovo,Kosovo,,,42.602636,20.902977,1810366
Kuwait,Kuwait,,,29.31166,47.481766,4270563
Kyrgyzstan,Kyrgyzstan,,,41.20438,74.766098,6524191
Laos,Laos,,,19.85627,102.495496,7275556
Latvia,Latvia,,,56.8796,24.6032,1886202
Lebanon,Lebanon,,,33.8547,35.8623,6825442
Lesotho,Lesotho,,,-29.61,28.2336,2142252
Liberia,Liberia,,,6.428055,-9.429499,5057677
Libya,Libya,,,26.3351,17.228331,6871287
Liechtenstein,Liechtenstein,,,47.14,9.55,38137
Lithuania,Lithuania,,,55.1694,23.8813,2722291
Luxembourg,Luxembourg,,,49.8153,6.1296,625976
Madagascar,Madagascar,,,-18.766947,46.869107,27691019
Malawi,Malawi,,,-13.2543,34.3015,19129955
Malaysia,Malaysia,,,4.210484,101.975766,32365998
Maldives,Maldives,,,3.2028,73.2207,540542
Mali,Mali,,,17.570692,-3.996166,20250834
Malta,Malta,,,35.9375,14.3754,441539
Marshall Islands,Marshall Islands,,,7.1315,171.1845,58413
Mauritania,Mauritania,,,21.0079,-10.9408,4649660
Mauritius,Mauritius,,,-20.348404,57.552152,1271767
Mexico,Mexico,,,23.6345,-102.5528,127792286
"Aguascalientes, Mexico",Mexico,Aguascalientes,,21.8853,-102.2916,1434635
"Baja California, Mexico",Mexico,Baja California,,30.8406,-115.2838,3634868
"Baja California Sur, Mexico",Mexico,Baja California Sur,,26.0444,-111.6661,804708
"Campeche, Mexico",Mexico,Campeche,,19.8301,-90.5349,1000617
"Chiapas, Mexico",Mexico,Chiapas,,16.7569,-93.1292,5730367
"Chihuahua, Mexico",Mexico,Chihuahua,,28.633,-106.0691,3801487
"Ciudad de Mexico, Mexico",Mexico,Ciudad de Mexico,,19.4326,-99.1332,9018645
"Coahuila, Mexico",Mexico,Coahuila,,27.0587,-101.7068,3218720
"Colima, Mexico",Mexico,Colima,,19.1223,-104.0072,785153
"Durango, Mexico",Mexico,Durango,,24.5593,-104.6588,1868996
"Guanajuato, Mexico",Mexico,Guanajuato,,21.019,-101.2574,6228175
"Guerrero, Mexico",Mexico,Guerrero,,17.4392,-99.5451,3657048
"Hidalgo, Mexico",Mexico,Hidalgo,,20.0911,-98.7624,3086414
"Jalisco, Mexico",Mexico,Jalisco,,20.6595,-103.3494,8409693
"Mexico, Mexico",Mexico,Mexico,,19.4969,-99.7233,17427790
"Michoacan, Mexico",Mexico,Michoacan,,19.5665,-101.7068,4825401
"Morelos, Mexico",Mexico,Morelos,,18.6813,-99.1013,2044058
"Nayarit, Mexico",Mexico,Nayarit,,21.7514,-104.8455,1288571
"Nuevo Leon, Mexico",Mexico,Nuevo Leon,,25.5922,-99.9962,5610153
"Oaxaca, Mexico",Mexico,Oaxaca,,17.0732,-96.7266,4143593
"Puebla, Mexico",Mexico,Puebla,,19.0414,-98.2063,6604451
"Queretaro, Mexico",Mexico,Queretaro,,20.5888,-100.3899,2279637
"Quintana Roo, Mexico",Mexico,Quintana Roo,,19.1817,-88.4791,1723259
"San Luis Potosi, Mexico",Mexico,San Luis Potosi,,22.1565,-100.9855,2866142
"Sinaloa, Mexico",Mexico,Sinaloa,,25.1721,-107.4795,3156674
"Sonora, Mexico",Mexico,Sonora,,29.2972,-110.3309,3074745
"Tabasco, Mexico",Mexico,Tabasco,,17.8409,-92.6189,2572287
"Tamaulipas, Mexico",Mexico,Tamaulipas,,24.2669,-98.8363,3650602
"Tlaxcala, Mexico",Mexico,Tlaxcala,,19.3139,-98.2404,1380011
"Veracruz, Mexico",Mexico,Veracruz,,19.1738,-96.1342,8539862
"Yucatan, Mexico",Mexico,Yucatan,,20.7099,-89.0943,2259098
"Zacatecas, Mexico",Mexico,Zacatecas,,22.7709,-102.5832,1666426
"Unknown, Mexico",Mexico,Unknown,,,,
Micronesia,Micronesia,,,7.4256,150.5508,113815
Moldova,Moldova,,,47.4116,28.3699,4033963
Monaco,Monaco,,,43.7333,7.4167,39244
Mongolia,Mongolia,,,46.8625,103.8467,3278292
Montenegro,Montenegro,,,42.708678,19.37439,628062
Morocco,Morocco,,,31.7917,-7.0926,36910558
Mozambique,Mozambique,,,-18.665695,35.529562,31255435
MS Zaandam,MS Zaandam,,,,,
Namibia,Namibia,,,-22.9576,18.4904,2540916
Nepal,Nepal,,,28.1667,84.25,29136808
Netherlands,Netherlands,,,52.1326,5.2913,17134873
"Drenthe, Netherlands",Netherlands,Drenthe,,52.862485,6.618435,493682
"Flevoland, Netherlands",Netherlands,Flevoland,,52.550383,5.515162,423021
"Friesland, Netherlands",Netherlands,Friesland,,53.087337,5.7925,649957
"Gelderland, Netherlands",Netherlands,Gelderland,,52.061738,5.939114,2085952
"Groningen, Netherlands",Netherlands,Groningen,,53.217922,6.741514,585866
"Limburg, Netherlands",Netherlands,Limburg,,51.209227,5.93387,1117201
"Noord-Brabant, Netherlands",Netherlands,Noord-Brabant,,51.561174,5.184942,2562955
"Noord-Holland, Netherlands",Netherlands,Noord-Holland,,52.600906,4.918688,2879527
"Overijssel, Netherlands",Netherlands,Overijssel,,52.444558,6.441722,1162406
"Utrecht, Netherlands",Netherlands,Utrecht,,52.084251,5.163824,1354834
"Zeeland, Netherlands",Netherlands,Zeeland,,51.47936,3.861559,383488
"Zuid-Holland, Netherlands",Netherlands,Zuid-Holland,,51.937835,4.462114,3708696
"Unknown, Netherlands",Netherlands,Unknown,,,,
"Aruba, Netherlands",Netherlands,Aruba,,12.5211,-69.9683,106766
"Curacao, Netherlands",Netherlands,Curacao,,12.1696,-68.99,164100
"Sint Maarten, Netherlands",Netherlands,Sint Maarten,,18.0425,-63.0548,42882
"Bonaire, Sint Eustatius and Saba, Netherlands",Netherlands,"Bonaire, Sint Eustatius and Saba",,12.1784,-68.2385,26221
New Zealand,New Zealand,,,-40.9006,174.886,4822233
Nicaragua,Nicaragua,,,12.865416,-85.207229,6624554
Niger,Niger,,,17.607789,8.081666,24206636
Nigeria,Nigeria,,,9.082,8.6753,206139587
"Abia, Nigeria",Nigeria,Abia,,5.4527,7.5248,3727347
"Adamawa, Nigeria",Nigeria,Adamawa,,9.3265,12.3984,4248436
"Akwa Ibom, Nigeria",Nigeria,Akwa Ibom,,4.9057,7.8537,5482177
